Test name,Execution time,Result
aproveSMT1001700549504608195.smt2,180.031771100,cvc5 interrupted by SIGTERM.
aproveSMT1002369120799378097.smt2,.037382100,sat
aproveSMT1002987040614633432.smt2,.048370500,sat
aproveSMT1003079011540423379.smt2,.058253800,sat
aproveSMT1004548876139444098.smt2,.047415700,sat
aproveSMT100500964594886141.smt2,180.028329600,cvc5 interrupted by SIGTERM.
aproveSMT1006593265001882878.smt2,.042749200,sat
aproveSMT1007445772889800596.smt2,7.391827200,sat
aproveSMT1008289700543544835.smt2,.048420200,sat
aproveSMT1009548771014223017.smt2,.059358900,sat
aproveSMT1010832203505577909.smt2,4.982938700,sat
aproveSMT1011702640639437570.smt2,.040959600,sat
aproveSMT101417910736011502.smt2,.230955300,unsat
aproveSMT1016338376657137265.smt2,.042147600,sat
aproveSMT1017370803858160340.smt2,.045295100,sat
aproveSMT1017862898884660660.smt2,.057444700,sat
aproveSMT1021654105853853383.smt2,.042941000,sat
aproveSMT102176498393626587.smt2,180.029973000,cvc5 interrupted by SIGTERM.
aproveSMT1022543817592849705.smt2,.036380100,sat
aproveSMT1023437561463628372.smt2,.052618300,sat
aproveSMT1026916174897974995.smt2,.041362200,sat
aproveSMT1031134853756247882.smt2,.036360500,sat
aproveSMT1033597413588659161.smt2,180.026701600,cvc5 interrupted by SIGTERM.
aproveSMT1038244403212994346.smt2,.046760500,sat
aproveSMT1044364220480225355.smt2,.046119900,sat
aproveSMT1045293394610378205.smt2,.040271700,sat
aproveSMT1047107094794491268.smt2,36.984500600,unsat
aproveSMT1049786927316670908.smt2,.235610700,unsat
aproveSMT1052446639564253740.smt2,.040325800,sat
aproveSMT1059628807158111792.smt2,1.192548700,unsat
aproveSMT1061498247469120548.smt2,.040047100,sat
aproveSMT106352422603502658.smt2,.038957600,sat
aproveSMT106628954746449373.smt2,.101451100,unsat
aproveSMT1067132971625049215.smt2,180.036764500,cvc5 interrupted by SIGTERM.
aproveSMT1067631316961394932.smt2,180.031326600,cvc5 interrupted by SIGTERM.
aproveSMT1071993156819731935.smt2,.057524400,sat
aproveSMT1072646210924280341.smt2,.120643700,unsat
aproveSMT1074794681419974085.smt2,1.319445800,sat
aproveSMT1074996860240419241.smt2,94.543704300,sat
aproveSMT1076852626867582761.smt2,.062116200,sat
aproveSMT1079747557447732919.smt2,.040515600,sat
aproveSMT1090306236237454748.smt2,.055214300,sat
aproveSMT1090696552017880877.smt2,180.033663100,cvc5 interrupted by SIGTERM.
aproveSMT1091600435177837637.smt2,180.036239800,cvc5 interrupted by SIGTERM.
aproveSMT1092050415997084290.smt2,180.031782100,cvc5 interrupted by SIGTERM.
