Test name,Execution time,Result
STC_0001.smt2,21.429063300,sat
STC_0002.smt2,.260718400,sat
STC_0003.smt2,.232069900,sat
STC_0004.smt2,180.027487700,cvc5 interrupted by SIGTERM.
STC_0251.smt2,180.030956500,cvc5 interrupted by SIGTERM.
STC_0501.smt2,180.071351100,cvc5 interrupted by SIGTERM.
STC_0751.smt2,180.069864600,cvc5 interrupted by SIGTERM.
STC_0005.smt2,180.032514700,cvc5 interrupted by SIGTERM.
STC_0006.smt2,.053016100,sat
STC_0007.smt2,.149116400,sat
STC_0008.smt2,.099800300,sat
STC_0009.smt2,.821551300,sat
STC_0010.smt2,4.682775300,sat
STC_0252.smt2,180.033328400,cvc5 interrupted by SIGTERM.
STC_0502.smt2,180.060097700,cvc5 interrupted by SIGTERM.
STC_0752.smt2,180.105187100,cvc5 interrupted by SIGTERM.
STC_0011.smt2,180.032851000,cvc5 interrupted by SIGTERM.
STC_0253.smt2,180.034110500,cvc5 interrupted by SIGTERM.
STC_0503.smt2,180.038217500,cvc5 interrupted by SIGTERM.
STC_0753.smt2,180.045293400,cvc5 interrupted by SIGTERM.
STC_0504.smt2,19.759756100,sat
STC_0505.smt2,3.333757900,sat
STC_0012.smt2,180.038975300,cvc5 interrupted by SIGTERM.
STC_0254.smt2,180.034076100,cvc5 interrupted by SIGTERM.
STC_0754.smt2,180.042528600,cvc5 interrupted by SIGTERM.
STC_0506.smt2,180.035144000,cvc5 interrupted by SIGTERM.
STC_0755.smt2,65.446586300,sat
STC_0756.smt2,17.495810800,sat
STC_0013.smt2,180.040982700,cvc5 interrupted by SIGTERM.
STC_0255.smt2,180.037530700,cvc5 interrupted by SIGTERM.
STC_0507.smt2,180.033412100,cvc5 interrupted by SIGTERM.
STC_0757.smt2,180.032936500,cvc5 interrupted by SIGTERM.
STC_0014.smt2,180.034549900,cvc5 interrupted by SIGTERM.
STC_0256.smt2,180.030350900,cvc5 interrupted by SIGTERM.
STC_0508.smt2,180.035774400,cvc5 interrupted by SIGTERM.
STC_0758.smt2,180.034527300,cvc5 interrupted by SIGTERM.
STC_0015.smt2,180.033662100,cvc5 interrupted by SIGTERM.
STC_0257.smt2,180.034690100,cvc5 interrupted by SIGTERM.
STC_0016.smt2,22.089193500,sat
STC_0509.smt2,180.041492800,cvc5 interrupted by SIGTERM.
STC_0759.smt2,180.035751600,cvc5 interrupted by SIGTERM.
STC_0258.smt2,180.035902700,cvc5 interrupted by SIGTERM.
STC_0017.smt2,180.036218800,cvc5 interrupted by SIGTERM.
STC_0510.smt2,180.033716000,cvc5 interrupted by SIGTERM.
STC_0760.smt2,180.035065300,cvc5 interrupted by SIGTERM.
STC_0259.smt2,180.034589600,cvc5 interrupted by SIGTERM.
STC_0018.smt2,180.034705900,cvc5 interrupted by SIGTERM.
STC_0511.smt2,180.034736600,cvc5 interrupted by SIGTERM.
STC_0512.smt2,3.927032800,sat
STC_0761.smt2,180.036666700,cvc5 interrupted by SIGTERM.
STC_0019.smt2,155.583995300,sat
STC_0020.smt2,.132221400,sat
STC_0260.smt2,180.033037500,cvc5 interrupted by SIGTERM.
STC_0513.smt2,180.035344500,cvc5 interrupted by SIGTERM.
STC_0261.smt2,54.826559500,sat
STC_0762.smt2,180.035607600,cvc5 interrupted by SIGTERM.
STC_0021.smt2,180.038160600,cvc5 interrupted by SIGTERM.
STC_0514.smt2,180.033775400,cvc5 interrupted by SIGTERM.
STC_0262.smt2,180.038735800,cvc5 interrupted by SIGTERM.
STC_0763.smt2,180.034385400,cvc5 interrupted by SIGTERM.
STC_0515.smt2,109.397868200,sat
STC_0022.smt2,180.036564100,cvc5 interrupted by SIGTERM.
STC_0263.smt2,180.035061500,cvc5 interrupted by SIGTERM.
STC_0764.smt2,180.034511600,cvc5 interrupted by SIGTERM.
STC_0516.smt2,180.037392800,cvc5 interrupted by SIGTERM.
STC_0023.smt2,180.039733200,cvc5 interrupted by SIGTERM.
STC_0264.smt2,180.032924800,cvc5 interrupted by SIGTERM.
STC_0765.smt2,180.035120100,cvc5 interrupted by SIGTERM.
STC_0517.smt2,180.036678800,cvc5 interrupted by SIGTERM.
STC_0024.smt2,180.043784100,cvc5 interrupted by SIGTERM.
STC_0265.smt2,180.037136500,cvc5 interrupted by SIGTERM.
STC_0766.smt2,180.035158700,cvc5 interrupted by SIGTERM.
STC_0518.smt2,180.036711300,cvc5 interrupted by SIGTERM.
STC_0025.smt2,180.036909700,cvc5 interrupted by SIGTERM.
STC_0266.smt2,180.036355000,cvc5 interrupted by SIGTERM.
STC_0767.smt2,180.035739100,cvc5 interrupted by SIGTERM.
STC_0519.smt2,180.035250300,cvc5 interrupted by SIGTERM.
STC_0026.smt2,180.036613100,cvc5 interrupted by SIGTERM.
STC_0027.smt2,.618464600,sat
STC_0520.smt2,32.466232400,sat
STC_0267.smt2,180.034117800,cvc5 interrupted by SIGTERM.
STC_0768.smt2,180.033068600,cvc5 interrupted by SIGTERM.
STC_0028.smt2,180.036692700,cvc5 interrupted by SIGTERM.
STC_0029.smt2,.078179000,sat
STC_0521.smt2,180.035788800,cvc5 interrupted by SIGTERM.
STC_0268.smt2,180.033396000,cvc5 interrupted by SIGTERM.
STC_0769.smt2,180.033335600,cvc5 interrupted by SIGTERM.
STC_0030.smt2,180.036458500,cvc5 interrupted by SIGTERM.
STC_0522.smt2,180.037336300,cvc5 interrupted by SIGTERM.
STC_0269.smt2,180.034828200,cvc5 interrupted by SIGTERM.
STC_0270.smt2,6.860490200,sat
STC_0770.smt2,180.034905600,cvc5 interrupted by SIGTERM.
STC_0031.smt2,180.034236400,cvc5 interrupted by SIGTERM.
STC_0523.smt2,180.037164900,cvc5 interrupted by SIGTERM.
STC_0271.smt2,180.036690200,cvc5 interrupted by SIGTERM.
STC_0771.smt2,180.034777000,cvc5 interrupted by SIGTERM.
STC_0032.smt2,180.037502500,cvc5 interrupted by SIGTERM.
STC_0524.smt2,180.037810800,cvc5 interrupted by SIGTERM.
STC_0772.smt2,94.879388800,sat
STC_0272.smt2,180.031831100,cvc5 interrupted by SIGTERM.
STC_0033.smt2,180.036709500,cvc5 interrupted by SIGTERM.
STC_0034.smt2,.353050100,sat
STC_0525.smt2,180.037036100,cvc5 interrupted by SIGTERM.
STC_0773.smt2,180.035072000,cvc5 interrupted by SIGTERM.
STC_0273.smt2,180.037831300,cvc5 interrupted by SIGTERM.
STC_0035.smt2,180.038734800,cvc5 interrupted by SIGTERM.
STC_0036.smt2,1.122461100,sat
STC_0037.smt2,.190127000,sat
STC_0526.smt2,180.036806500,cvc5 interrupted by SIGTERM.
STC_0774.smt2,180.035259700,cvc5 interrupted by SIGTERM.
