Test name,Execution time,Result
MC_02.smt2,.187127700,unsat
MC_03.smt2,180.025712300,cvc5 interrupted by SIGTERM.
MC_04.smt2,180.024655700,cvc5 interrupted by SIGTERM.
MC_05.smt2,180.026198400,cvc5 interrupted by SIGTERM.
MC_06.smt2,180.028349000,cvc5 interrupted by SIGTERM.
MC_07.smt2,180.030273100,cvc5 interrupted by SIGTERM.
MC_08.smt2,180.032303500,cvc5 interrupted by SIGTERM.
MC_09.smt2,180.036631300,cvc5 interrupted by SIGTERM.
MC_10.smt2,180.035274900,cvc5 interrupted by SIGTERM.
MC_11.smt2,180.029119800,cvc5 interrupted by SIGTERM.
MC_12.smt2,180.031473400,cvc5 interrupted by SIGTERM.
MF_02.smt2,.092413400,unsat
MF_03.smt2,180.037146200,cvc5 interrupted by SIGTERM.
MF_04.smt2,180.028940700,cvc5 interrupted by SIGTERM.
MF_05.smt2,180.028265400,cvc5 interrupted by SIGTERM.
MF_06.smt2,180.029076400,cvc5 interrupted by SIGTERM.
MF_07.smt2,180.027221300,cvc5 interrupted by SIGTERM.
MF_08.smt2,180.026944600,cvc5 interrupted by SIGTERM.
MF_09.smt2,180.036832800,cvc5 interrupted by SIGTERM.
MF_10.smt2,180.029102200,cvc5 interrupted by SIGTERM.
MF_11.smt2,180.034910400,cvc5 interrupted by SIGTERM.
MF_12.smt2,180.041060600,cvc5 interrupted by SIGTERM.
MQ_02.smt2,.117436000,unsat
MQ_03.smt2,180.038542200,cvc5 interrupted by SIGTERM.
MQ_04.smt2,180.030548200,cvc5 interrupted by SIGTERM.
MQ_05.smt2,180.027231300,cvc5 interrupted by SIGTERM.
MQ_06.smt2,180.028842600,cvc5 interrupted by SIGTERM.
MQ_07.smt2,180.029307700,cvc5 interrupted by SIGTERM.
MQ_08.smt2,180.033849000,cvc5 interrupted by SIGTERM.
MQ_09.smt2,180.035241800,cvc5 interrupted by SIGTERM.
MQ_10.smt2,180.029047200,cvc5 interrupted by SIGTERM.
MQ_11.smt2,180.030567500,cvc5 interrupted by SIGTERM.
MQ_12.smt2,180.038312000,cvc5 interrupted by SIGTERM.
MS_02.smt2,.106713100,unsat
MS_03.smt2,180.042382600,cvc5 interrupted by SIGTERM.
MS_04.smt2,180.035925000,cvc5 interrupted by SIGTERM.
MS_05.smt2,180.038224700,cvc5 interrupted by SIGTERM.
MS_06.smt2,180.034864100,cvc5 interrupted by SIGTERM.
MS_07.smt2,180.034832600,cvc5 interrupted by SIGTERM.
MS_08.smt2,180.033081800,cvc5 interrupted by SIGTERM.
MS_09.smt2,180.030093100,cvc5 interrupted by SIGTERM.
MS_10.smt2,180.032339300,cvc5 interrupted by SIGTERM.
MS_11.smt2,180.029150200,cvc5 interrupted by SIGTERM.
MS_12.smt2,180.032058400,cvc5 interrupted by SIGTERM.
RTA_091.smt2,180.028928700,cvc5 interrupted by SIGTERM.
RTA_092.smt2,180.040979600,cvc5 interrupted by SIGTERM.
RTA_093.smt2,180.041935800,cvc5 interrupted by SIGTERM.
RTA_094.smt2,180.028376600,cvc5 interrupted by SIGTERM.
RTA_095.smt2,180.032687200,cvc5 interrupted by SIGTERM.
RTA_096.smt2,180.031879400,cvc5 interrupted by SIGTERM.
RTA_097.smt2,180.029445500,cvc5 interrupted by SIGTERM.
RTA_098.smt2,180.029705900,cvc5 interrupted by SIGTERM.
RTA_099.smt2,180.040810500,cvc5 interrupted by SIGTERM.
RTA_100.smt2,180.040167900,cvc5 interrupted by SIGTERM.
SC_02.smt2,.104717500,unsat
SC_03.smt2,180.033856400,cvc5 interrupted by SIGTERM.
SC_04.smt2,180.034624000,cvc5 interrupted by SIGTERM.
SC_05.smt2,180.045146500,cvc5 interrupted by SIGTERM.
SC_06.smt2,180.034442100,cvc5 interrupted by SIGTERM.
SC_07.smt2,180.030738800,cvc5 interrupted by SIGTERM.
SC_08.smt2,180.031434000,cvc5 interrupted by SIGTERM.
SC_09.smt2,180.033981500,cvc5 interrupted by SIGTERM.
SC_10.smt2,180.035601100,cvc5 interrupted by SIGTERM.
SC_11.smt2,180.036216300,cvc5 interrupted by SIGTERM.
SC_12.smt2,180.030090100,cvc5 interrupted by SIGTERM.
SF_02.smt2,.077308100,unsat
SF_03.smt2,180.030109000,cvc5 interrupted by SIGTERM.
SF_04.smt2,180.028735400,cvc5 interrupted by SIGTERM.
SF_05.smt2,180.027458600,cvc5 interrupted by SIGTERM.
SF_06.smt2,180.028644100,cvc5 interrupted by SIGTERM.
SF_07.smt2,180.029442400,cvc5 interrupted by SIGTERM.
SF_08.smt2,180.028320200,cvc5 interrupted by SIGTERM.
SF_09.smt2,180.028777900,cvc5 interrupted by SIGTERM.
SF_10.smt2,180.025157200,cvc5 interrupted by SIGTERM.
SF_11.smt2,180.027226300,cvc5 interrupted by SIGTERM.
SF_12.smt2,180.029679600,cvc5 interrupted by SIGTERM.
SQ_02.smt2,.073918400,unsat
SQ_03.smt2,180.030637100,cvc5 interrupted by SIGTERM.
SQ_04.smt2,180.027454900,cvc5 interrupted by SIGTERM.
SQ_05.smt2,180.027132700,cvc5 interrupted by SIGTERM.
SQ_06.smt2,180.028750300,cvc5 interrupted by SIGTERM.
SQ_07.smt2,180.027619000,cvc5 interrupted by SIGTERM.
SQ_08.smt2,180.029179600,cvc5 interrupted by SIGTERM.
SQ_09.smt2,180.026498900,cvc5 interrupted by SIGTERM.
SQ_10.smt2,180.026813400,cvc5 interrupted by SIGTERM.
SQ_11.smt2,180.030475800,cvc5 interrupted by SIGTERM.
SQ_12.smt2,180.028312800,cvc5 interrupted by SIGTERM.
TA_01.smt2,.038268800,sat
TA_02.smt2,180.027710900,cvc5 interrupted by SIGTERM.
TA_03.smt2,180.027276700,cvc5 interrupted by SIGTERM.
TA_04.smt2,180.028487000,cvc5 interrupted by SIGTERM.
TA_05.smt2,180.026136100,cvc5 interrupted by SIGTERM.
TA_06.smt2,180.027681300,cvc5 interrupted by SIGTERM.
TA_07.smt2,180.028225600,cvc5 interrupted by SIGTERM.
TA_08.smt2,180.026073500,cvc5 interrupted by SIGTERM.
TA_09.smt2,180.026767500,cvc5 interrupted by SIGTERM.
TA_10.smt2,180.024606800,cvc5 interrupted by SIGTERM.
TA_11.smt2,180.025508100,cvc5 interrupted by SIGTERM.
TA_12.smt2,180.026043300,cvc5 interrupted by SIGTERM.
TA_13.smt2,180.024339000,cvc5 interrupted by SIGTERM.
