Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0001.smt2, 0.030689, SAT, x = -300 y = 1 z = 300 
/20220315-MathProblems/STC_0002.smt2, 7.177578, SAT, x = -161 y = -54 z = 163 
/20220315-MathProblems/STC_0003.smt2, 15.041955, SAT, x = -5 y = 4 z = 4 
/20220315-MathProblems/STC_0004.smt2, 31.527554, Not SAT
/20220315-MathProblems/STC_0005.smt2, 31.542761, Not SAT
/20220315-MathProblems/STC_0006.smt2, 3.409895, SAT, x = -235 y = -55 z = 236 
/20220315-MathProblems/STC_0007.smt2, 6.970236, SAT, x = -169 y = 44 z = 168 
/20220315-MathProblems/STC_0008.smt2, 0.026012, SAT, x = -300 y = 2 z = 300 
/20220315-MathProblems/STC_0009.smt2, 4.568653, SAT, x = -216 y = -52 z = 217 
/20220315-MathProblems/STC_0010.smt2, 6.655646, SAT, x = -171 y = 130 z = 141 
/20220315-MathProblems/STC_0011.smt2, 4.457276, SAT, x = -212 y = -197 z = 258 
/20220315-MathProblems/STC_0012.smt2, 14.928123, SAT, x = -11 y = 7 z = 10 
/20220315-MathProblems/STC_0013.smt2, 32.378540, Not SAT
/20220315-MathProblems/STC_0014.smt2, 31.821970, Not SAT
/20220315-MathProblems/STC_0015.smt2, 12.658085, SAT, x = -46 y = 23 z = 44 
/20220315-MathProblems/STC_0016.smt2, 10.206278, SAT, x = -94 y = -48 z = 98 
/20220315-MathProblems/STC_0017.smt2, 9.519306, SAT, x = -111 y = -103 z = 135 
/20220315-MathProblems/STC_0018.smt2, 4.106397, SAT, x = -218 y = 75 z = 215 
/20220315-MathProblems/STC_0019.smt2, 10.315850, SAT, x = -95 y = 47 z = 91 
/20220315-MathProblems/STC_0020.smt2, 1.283024, SAT, x = -275 y = 159 z = 256 
/20220315-MathProblems/STC_0021.smt2, 9.928869, SAT, x = -101 y = 49 z = 97 
/20220315-MathProblems/STC_0022.smt2, 33.033018, Not SAT
/20220315-MathProblems/STC_0023.smt2, 37.391311, Not SAT
/20220315-MathProblems/STC_0024.smt2, 15.866960, SAT, x = -10 y = 8 z = 8 
/20220315-MathProblems/STC_0025.smt2, 15.670420, SAT, x = -1 y = -1 z = 3 
/20220315-MathProblems/STC_0026.smt2, 15.350763, SAT, x = -1 y = 0 z = 3 
/20220315-MathProblems/STC_0027.smt2, 0.029708, SAT, x = -300 y = 3 z = 300 
/20220315-MathProblems/STC_0028.smt2, 12.615119, SAT, x = -59 y = 31 z = 56 
/20220315-MathProblems/STC_0029.smt2, 3.961612, SAT, x = -233 y = -69 z = 235 
/20220315-MathProblems/STC_0030.smt2, 33.618156, Not SAT
/20220315-MathProblems/STC_0031.smt2, 31.182118, Not SAT
/20220315-MathProblems/STC_0032.smt2, 30.767315, Not SAT
/20220315-MathProblems/STC_0033.smt2, 31.129531, Not SAT
/20220315-MathProblems/STC_0034.smt2, 9.709071, SAT, x = -121 y = -112 z = 147 
/20220315-MathProblems/STC_0035.smt2, 15.720302, SAT, x = -13 y = -8 z = 14 
/20220315-MathProblems/STC_0036.smt2, 1.752394, SAT, x = -269 y = -87 z = 272 
/20220315-MathProblems/STC_0037.smt2, 13.719641, SAT, x = -56 y = 37 z = 50 
/20220315-MathProblems/STC_0038.smt2, 14.641964, SAT, x = -27 y = 16 z = 25 
/20220315-MathProblems/STC_0039.smt2, 29.997146, Not SAT
/20220315-MathProblems/STC_0040.smt2, 29.944011, Not SAT
/20220315-MathProblems/STC_0041.smt2, 30.080291, Not SAT
/20220315-MathProblems/STC_0042.smt2, 29.950868, Not SAT
/20220315-MathProblems/STC_0043.smt2, 12.352414, SAT, x = -52 y = 20 z = 51 
/20220315-MathProblems/STC_0044.smt2, 15.088665, SAT, x = -7 y = -5 z = 8 
/20220315-MathProblems/STC_0045.smt2, 14.833288, SAT, x = -3 y = 2 z = 4 
/20220315-MathProblems/STC_0046.smt2, 13.541286, SAT, x = -29 y = 19 z = 26 
/20220315-MathProblems/STC_0047.smt2, 7.911321, SAT, x = -141 y = 49 z = 139 
/20220315-MathProblems/STC_0048.smt2, 9.122922, SAT, x = -116 y = -86 z = 130 
/20220315-MathProblems/STC_0049.smt2, 29.841971, Not SAT
/20220315-MathProblems/STC_0050.smt2, 31.398609, Not SAT
/20220315-MathProblems/STC_0051.smt2, 31.993090, Not SAT
/20220315-MathProblems/STC_0052.smt2, 30.925174, Not SAT
/20220315-MathProblems/STC_0053.smt2, 3.008154, SAT, x = -240 y = 80 z = 237 
/20220315-MathProblems/STC_0054.smt2, 7.975833, SAT, x = -141 y = -72 z = 147 
/20220315-MathProblems/STC_0055.smt2, 2.548297, SAT, x = -249 y = 82 z = 246 
/20220315-MathProblems/STC_0056.smt2, 4.542301, SAT, x = -210 y = 64 z = 208 
/20220315-MathProblems/STC_0057.smt2, 5.692528, SAT, x = -185 y = -95 z = 193 
/20220315-MathProblems/STC_0058.smt2, 29.981769, Not SAT
/20220315-MathProblems/STC_0059.smt2, 35.442646, Not SAT
/20220315-MathProblems/STC_0060.smt2, 15.382393, SAT, x = -4 y = -1 z = 5 
/20220315-MathProblems/STC_0061.smt2, 16.990774, SAT, x = -4 y = 0 z = 5 
/20220315-MathProblems/STC_0062.smt2, 15.414342, SAT, x = -43 y = 22 z = 41 
/20220315-MathProblems/STC_0063.smt2, 9.011865, SAT, x = -161 y = 102 z = 146 
/20220315-MathProblems/STC_0064.smt2, 0.033988, SAT, x = -300 y = 4 z = 300 
/20220315-MathProblems/STC_0065.smt2, 12.491698, SAT, x = -111 y = 85 z = 91 
/20220315-MathProblems/STC_0066.smt2, 16.310201, SAT, x = 1 y = 1 z = 4 
/20220315-MathProblems/STC_0067.smt2, 34.450750, Not SAT
/20220315-MathProblems/STC_0068.smt2, 34.966573, Not SAT
/20220315-MathProblems/STC_0069.smt2, 15.715204, SAT, x = -22 y = -19 z = 26 
/20220315-MathProblems/STC_0070.smt2, 13.222660, SAT, x = -64 y = 23 z = 63 
/20220315-MathProblems/STC_0071.smt2, 13.671583, SAT, x = -33 y = -22 z = 36 
/20220315-MathProblems/STC_0072.smt2, 14.725666, SAT, x = -27 y = -13 z = 28 
/20220315-MathProblems/STC_0073.smt2, 13.455462, SAT, x = -47 y = 29 z = 43 
/20220315-MathProblems/STC_0074.smt2, 32.015053, Not SAT
/20220315-MathProblems/STC_0075.smt2, 31.709958, Not SAT
/20220315-MathProblems/STC_0076.smt2, 36.131045, Not SAT
/20220315-MathProblems/STC_0077.smt2, 34.137795, Not SAT
/20220315-MathProblems/STC_0078.smt2, 13.208994, SAT, x = -55 y = 26 z = 53 
/20220315-MathProblems/STC_0079.smt2, 13.373614, SAT, x = -66 y = -49 z = 74 
/20220315-MathProblems/STC_0080.smt2, 16.346100, SAT, x = -6 y = -6 z = 8 
/20220315-MathProblems/STC_0081.smt2, 14.988537, SAT, x = -18 y = 10 z = 17 
