Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0001.smt2, 0.005003, SAT, x = -32 y = 1 z = 32 
/20220315-MathProblems/STC_0002.smt2, 0.203553, SAT, x = -6 y = -5 z = 7 
/20220315-MathProblems/STC_0003.smt2, 0.210153, SAT, x = -5 y = 4 z = 4 
/20220315-MathProblems/STC_0004.smt2, 180.000264, Not SAT
/20220315-MathProblems/STC_0005.smt2, 180.000250, Not SAT
/20220315-MathProblems/STC_0006.smt2, 0.238483, SAT, x = -1 y = -1 z = 2 
/20220315-MathProblems/STC_0007.smt2, 0.240200, SAT, x = -1 y = 0 z = 2 
/20220315-MathProblems/STC_0008.smt2, 0.004620, SAT, x = -32 y = 2 z = 32 
/20220315-MathProblems/STC_0009.smt2, 0.246223, SAT, x = 0 y = 1 z = 2 
/20220315-MathProblems/STC_0010.smt2, 0.223784, SAT, x = -3 y = -3 z = 4 
/20220315-MathProblems/STC_0011.smt2, 0.239800, SAT, x = -2 y = -2 z = 3 
/20220315-MathProblems/STC_0012.smt2, 0.164651, SAT, x = -11 y = 7 z = 10 
/20220315-MathProblems/STC_0013.smt2, 180.000302, Not SAT
/20220315-MathProblems/STC_0014.smt2, 180.000268, Not SAT
/20220315-MathProblems/STC_0015.smt2, 0.261458, SAT, x = -1 y = 2 z = 2 
/20220315-MathProblems/STC_0016.smt2, 0.171840, SAT, x = -12 y = -10 z = 14 
/20220315-MathProblems/STC_0017.smt2, 0.264841, SAT, x = 1 y = 2 z = 2 
/20220315-MathProblems/STC_0018.smt2, 0.244847, SAT, x = -2 y = -1 z = 3 
/20220315-MathProblems/STC_0019.smt2, 0.132450, SAT, x = -16 y = -14 z = 19 
/20220315-MathProblems/STC_0020.smt2, 0.247087, SAT, x = -2 y = 1 z = 3 
/20220315-MathProblems/STC_0021.smt2, 0.145452, SAT, x = -14 y = -11 z = 16 
/20220315-MathProblems/STC_0022.smt2, 180.000206, Not SAT
/20220315-MathProblems/STC_0023.smt2, 180.000295, Not SAT
/20220315-MathProblems/STC_0024.smt2, 0.180243, SAT, x = -10 y = 8 z = 8 
/20220315-MathProblems/STC_0025.smt2, 0.252970, SAT, x = -1 y = -1 z = 3 
/20220315-MathProblems/STC_0026.smt2, 0.254271, SAT, x = -1 y = 0 z = 3 
/20220315-MathProblems/STC_0027.smt2, 0.004838, SAT, x = -32 y = 3 z = 32 
/20220315-MathProblems/STC_0028.smt2, 0.124797, SAT, x = -17 y = 13 z = 14 
/20220315-MathProblems/STC_0029.smt2, 0.103886, SAT, x = -20 y = 13 z = 18 
/20220315-MathProblems/STC_0030.smt2, 180.000263, Not SAT
/20220315-MathProblems/STC_0031.smt2, 180.000238, Not SAT
/20220315-MathProblems/STC_0032.smt2, 180.000310, Not SAT
/20220315-MathProblems/STC_0033.smt2, 180.000232, Not SAT
/20220315-MathProblems/STC_0034.smt2, 0.215593, SAT, x = -6 y = 5 z = 5 
/20220315-MathProblems/STC_0035.smt2, 0.275398, SAT, x = -13 y = -8 z = 14 
/20220315-MathProblems/STC_0036.smt2, 0.441044, SAT, x = -3 y = -1 z = 4 
/20220315-MathProblems/STC_0037.smt2, 0.390974, SAT, x = -3 y = 0 z = 4 
/20220315-MathProblems/STC_0038.smt2, 0.075477, SAT, x = -27 y = 16 z = 25 
/20220315-MathProblems/STC_0039.smt2, 180.000242, Not SAT
/20220315-MathProblems/STC_0040.smt2, 180.000680, Not SAT
/20220315-MathProblems/STC_0041.smt2, 180.000305, Not SAT
/20220315-MathProblems/STC_0042.smt2, 180.000233, Not SAT
/20220315-MathProblems/STC_0043.smt2, 0.287124, SAT, x = -13 y = 8 z = 12 
/20220315-MathProblems/STC_0044.smt2, 0.380158, SAT, x = -7 y = -5 z = 8 
/20220315-MathProblems/STC_0045.smt2, 0.433608, SAT, x = -3 y = 2 z = 4 
/20220315-MathProblems/STC_0046.smt2, 0.058611, SAT, x = -29 y = 19 z = 26 
/20220315-MathProblems/STC_0047.smt2, 0.032655, SAT, x = -30 y = -14 z = 31 
/20220315-MathProblems/STC_0048.smt2, 0.094563, SAT, x = -26 y = -23 z = 31 
/20220315-MathProblems/STC_0049.smt2, 180.000272, Not SAT
/20220315-MathProblems/STC_0050.smt2, 180.000344, Not SAT
/20220315-MathProblems/STC_0051.smt2, 180.000230, Not SAT
/20220315-MathProblems/STC_0052.smt2, 180.000282, Not SAT
/20220315-MathProblems/STC_0053.smt2, 0.252119, SAT, x = -4 y = -2 z = 5 
/20220315-MathProblems/STC_0054.smt2, 0.124502, SAT, x = -18 y = -15 z = 21 
/20220315-MathProblems/STC_0055.smt2, 0.082166, SAT, x = -23 y = -23 z = 29 
/20220315-MathProblems/STC_0056.smt2, 0.112417, SAT, x = -21 y = -11 z = 22 
/20220315-MathProblems/STC_0057.smt2, 0.273373, SAT, x = -2 y = 1 z = 4 
/20220315-MathProblems/STC_0058.smt2, 180.000285, Not SAT
/20220315-MathProblems/STC_0059.smt2, 180.000556, Not SAT
/20220315-MathProblems/STC_0060.smt2, 0.398060, SAT, x = -4 y = -1 z = 5 
/20220315-MathProblems/STC_0061.smt2, 0.405119, SAT, x = -4 y = 0 z = 5 
/20220315-MathProblems/STC_0062.smt2, 0.400774, SAT, x = -4 y = 1 z = 5 
/20220315-MathProblems/STC_0063.smt2, 0.419473, SAT, x = -6 y = -4 z = 7 
/20220315-MathProblems/STC_0064.smt2, 0.008188, SAT, x = -32 y = 4 z = 32 
/20220315-MathProblems/STC_0065.smt2, 0.514126, SAT, x = 0 y = 1 z = 4 
/20220315-MathProblems/STC_0066.smt2, 0.498492, SAT, x = 1 y = 1 z = 4 
/20220315-MathProblems/STC_0067.smt2, 180.000202, Not SAT
/20220315-MathProblems/STC_0068.smt2, 180.000213, Not SAT
/20220315-MathProblems/STC_0069.smt2, 0.135199, SAT, x = -22 y = -19 z = 26 
/20220315-MathProblems/STC_0070.smt2, 0.160789, SAT, x = -21 y = 11 z = 20 
/20220315-MathProblems/STC_0071.smt2, 0.115229, SAT, x = -24 y = 12 z = 23 
/20220315-MathProblems/STC_0072.smt2, 0.082118, SAT, x = -27 y = -13 z = 28 
/20220315-MathProblems/STC_0073.smt2, 0.109405, SAT, x = -24 y = -12 z = 25 
/20220315-MathProblems/STC_0074.smt2, 180.000292, Not SAT
/20220315-MathProblems/STC_0075.smt2, 180.000294, Not SAT
/20220315-MathProblems/STC_0076.smt2, 180.000293, Not SAT
/20220315-MathProblems/STC_0077.smt2, 180.000281, Not SAT
/20220315-MathProblems/STC_0078.smt2, 0.824472, SAT, x = -55 y = 26 z = 53 
/20220315-MathProblems/STC_0079.smt2, 1.634423, SAT, x = -33 y = -19 z = 35 
/20220315-MathProblems/STC_0080.smt2, 0.223472, SAT, x = -6 y = -6 z = 8 
/20220315-MathProblems/STC_0081.smt2, 0.125080, SAT, x = -18 y = 10 z = 17 
/20220315-MathProblems/STC_0082.smt2, 0.200638, SAT, x = -11 y = -11 z = 14 
/20220315-MathProblems/STC_0083.smt2, 0.031170, SAT, x = -29 y = 22 z = 24 
/20220315-MathProblems/STC_0084.smt2, 180.000291, Not SAT
/20220315-MathProblems/STC_0085.smt2, 180.000272, Not SAT
/20220315-MathProblems/STC_0086.smt2, 180.000240, Not SAT
/20220315-MathProblems/STC_0087.smt2, 180.000279, Not SAT
/20220315-MathProblems/STC_0088.smt2, 0.132317, SAT, x = -16 y = -9 z = 17 
/20220315-MathProblems/STC_0089.smt2, 0.200949, SAT, x = -7 y = 6 z = 6 
/20220315-MathProblems/STC_0090.smt2, 0.045013, SAT, x = -27 y = 13 z = 26 
/20220315-MathProblems/STC_0091.smt2, 0.216112, SAT, x = -5 y = 0 z = 6 
/20220315-MathProblems/STC_0092.smt2, 0.191563, SAT, x = -8 y = -5 z = 9 
/20220315-MathProblems/STC_0093.smt2, 0.217236, SAT, x = -5 y = -5 z = 7 
/20220315-MathProblems/STC_0094.smt2, 180.000292, Not SAT
/20220315-MathProblems/STC_0095.smt2, 180.000331, Not SAT
/20220315-MathProblems/STC_0096.smt2, 0.146785, SAT, x = -22 y = 14 z = 20 
/20220315-MathProblems/STC_0097.smt2, 0.114953, SAT, x = -22 y = 17 z = 18 
/20220315-MathProblems/STC_0098.smt2, 0.221263, SAT, x = -15 y = 9 z = 14 
/20220315-MathProblems/STC_0099.smt2, 0.274332, SAT, x = -5 y = 2 z = 6 
/20220315-MathProblems/STC_0100.smt2, 0.261818, SAT, x = -6 y = -3 z = 7 
/20220315-MathProblems/STC_0101.smt2, 0.280454, SAT, x = -3 y = 4 z = 4 
/20220315-MathProblems/STC_0102.smt2, 48.244715, SAT, x = -239 y = 118 z = 229 
/20220315-MathProblems/STC_0103.smt2, 180.000263, Not SAT
/20220315-MathProblems/STC_0104.smt2, 180.000323, Not SAT
/20220315-MathProblems/STC_0105.smt2, 0.341026, SAT, x = -7 y = -4 z = 8 
/20220315-MathProblems/STC_0106.smt2, 0.182572, SAT, x = -19 y = -19 z = 24 
/20220315-MathProblems/STC_0107.smt2, 1.749098, SAT, x = -48 y = -28 z = 51 
/20220315-MathProblems/STC_0108.smt2, 180.000247, Not SAT
/20220315-MathProblems/STC_0109.smt2, 0.227185, SAT, x = -15 y = -15 z = 19 
/20220315-MathProblems/STC_0110.smt2, 180.000250, Not SAT
/20220315-MathProblems/STC_0111.smt2, 180.000203, Not SAT
/20220315-MathProblems/STC_0112.smt2, 180.000200, Not SAT
/20220315-MathProblems/STC_0113.smt2, 180.000270, Not SAT
/20220315-MathProblems/STC_0114.smt2, 180.000246, Not SAT
/20220315-MathProblems/STC_0115.smt2, 0.276328, SAT, x = -12 y = 8 z = 11 
/20220315-MathProblems/STC_0116.smt2, 0.407926, SAT, x = -2 y = -1 z = 5 
/20220315-MathProblems/STC_0117.smt2, 0.360938, SAT, x = -2 y = 0 z = 5 
/20220315-MathProblems/STC_0118.smt2, 0.218710, SAT, x = -5 y = 3 z = 6 
/20220315-MathProblems/STC_0119.smt2, 0.143118, SAT, x = -14 y = -8 z = 15 
/20220315-MathProblems/STC_0120.smt2, 0.250547, SAT, x = -2 y = 4 z = 4 
/20220315-MathProblems/STC_0121.smt2, 180.000152, Not SAT
/20220315-MathProblems/STC_0122.smt2, 180.000307, Not SAT
/20220315-MathProblems/STC_0123.smt2, 0.417271, SAT, x = -1 y = -1 z = 5 
/20220315-MathProblems/STC_0124.smt2, 0.306060, SAT, x = -1 y = 0 z = 5 
/20220315-MathProblems/STC_0125.smt2, 0.005183, SAT, x = -32 y = 5 z = 32 
/20220315-MathProblems/STC_0126.smt2, 0.169791, SAT, x = -12 y = -7 z = 13 
/20220315-MathProblems/STC_0127.smt2, 0.182467, SAT, x = -11 y = 9 z = 9 
/20220315-MathProblems/STC_0128.smt2, 0.069393, SAT, x = -24 y = -20 z = 28 
/20220315-MathProblems/STC_0129.smt2, 0.271986, SAT, x = 1 y = 4 z = 4 
/20220315-MathProblems/STC_0130.smt2, 180.000282, Not SAT
/20220315-MathProblems/STC_0131.smt2, 180.000282, Not SAT
/20220315-MathProblems/STC_0132.smt2, 0.258507, SAT, x = -1 y = 2 z = 5 
/20220315-MathProblems/STC_0133.smt2, 0.022973, SAT, x = -30 y = 14 z = 29 
/20220315-MathProblems/STC_0134.smt2, 0.249085, SAT, x = -13 y = 10 z = 11 
/20220315-MathProblems/STC_0135.smt2, 0.056638, SAT, x = -28 y = -17 z = 30 
/20220315-MathProblems/STC_0136.smt2, 0.456774, SAT, x = 2 y = 4 z = 4 
/20220315-MathProblems/STC_0137.smt2, 0.281406, SAT, x = -11 y = -9 z = 13 
/20220315-MathProblems/STC_0138.smt2, 11.657659, SAT, x = -86 y = -77 z = 103 
/20220315-MathProblems/STC_0139.smt2, 180.000300, Not SAT
/20220315-MathProblems/STC_0140.smt2, 180.000301, Not SAT
/20220315-MathProblems/STC_0141.smt2, 0.176036, SAT, x = -19 y = -10 z = 20 
/20220315-MathProblems/STC_0142.smt2, 0.308485, SAT, x = -7 y = -3 z = 8 
/20220315-MathProblems/STC_0143.smt2, 180.000272, Not SAT
/20220315-MathProblems/STC_0144.smt2, 0.238784, SAT, x = -4 y = -2 z = 6 
/20220315-MathProblems/STC_0145.smt2, 0.190151, SAT, x = -8 y = -7 z = 10 
/20220315-MathProblems/STC_0146.smt2, 0.187998, SAT, x = -9 y = -5 z = 10 
/20220315-MathProblems/STC_0147.smt2, 16.676957, SAT, x = -56 y = -50 z = 67 
/20220315-MathProblems/STC_0148.smt2, 180.000310, Not SAT
/20220315-MathProblems/STC_0149.smt2, 180.000222, Not SAT
