Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0001.smt2, 0.003764, SAT, x = -100 y = 1 z = 100 
/20220315-MathProblems/STC_0002.smt2, 0.323468, SAT, x = -47 y = -24 z = 49 
/20220315-MathProblems/STC_0003.smt2, 0.573846, SAT, x = -5 y = 4 z = 4 
/20220315-MathProblems/STC_0004.smt2, 1.253370, Not SAT
/20220315-MathProblems/STC_0005.smt2, 1.565967, Not SAT
/20220315-MathProblems/STC_0006.smt2, 0.282330, SAT, x = -58 y = -43 z = 65 
/20220315-MathProblems/STC_0007.smt2, 0.651466, SAT, x = -1 y = 0 z = 2 
/20220315-MathProblems/STC_0008.smt2, 0.004225, SAT, x = -100 y = 2 z = 100 
/20220315-MathProblems/STC_0009.smt2, 0.603548, SAT, x = 0 y = 1 z = 2 
/20220315-MathProblems/STC_0010.smt2, 0.574302, SAT, x = -3 y = -3 z = 4 
/20220315-MathProblems/STC_0011.smt2, 0.569898, SAT, x = -2 y = -2 z = 3 
/20220315-MathProblems/STC_0012.smt2, 0.517812, SAT, x = -11 y = 7 z = 10 
/20220315-MathProblems/STC_0013.smt2, 1.199270, Not SAT
/20220315-MathProblems/STC_0014.smt2, 1.165823, Not SAT
/20220315-MathProblems/STC_0015.smt2, 0.328473, SAT, x = -46 y = 23 z = 44 
/20220315-MathProblems/STC_0016.smt2, 0.038623, SAT, x = -94 y = -48 z = 98 
/20220315-MathProblems/STC_0017.smt2, 0.307451, SAT, x = -52 y = 25 z = 50 
/20220315-MathProblems/STC_0018.smt2, 0.574594, SAT, x = -2 y = -1 z = 3 
/20220315-MathProblems/STC_0019.smt2, 0.034557, SAT, x = -95 y = 47 z = 91 
/20220315-MathProblems/STC_0020.smt2, 0.259185, SAT, x = -56 y = 21 z = 55 
/20220315-MathProblems/STC_0021.smt2, 0.084987, SAT, x = -86 y = 28 z = 85 
/20220315-MathProblems/STC_0022.smt2, 1.183595, Not SAT
/20220315-MathProblems/STC_0023.smt2, 1.185622, Not SAT
/20220315-MathProblems/STC_0024.smt2, 0.535881, SAT, x = -10 y = 8 z = 8 
/20220315-MathProblems/STC_0025.smt2, 0.588944, SAT, x = -1 y = -1 z = 3 
/20220315-MathProblems/STC_0026.smt2, 0.595373, SAT, x = -1 y = 0 z = 3 
/20220315-MathProblems/STC_0027.smt2, 0.004814, SAT, x = -100 y = 3 z = 100 
/20220315-MathProblems/STC_0028.smt2, 0.253009, SAT, x = -59 y = 31 z = 56 
/20220315-MathProblems/STC_0029.smt2, 0.489452, SAT, x = -20 y = 13 z = 18 
/20220315-MathProblems/STC_0030.smt2, 1.173759, Not SAT
/20220315-MathProblems/STC_0031.smt2, 1.169810, Not SAT
/20220315-MathProblems/STC_0032.smt2, 1.148079, Not SAT
/20220315-MathProblems/STC_0033.smt2, 1.178692, Not SAT
/20220315-MathProblems/STC_0034.smt2, 0.553389, SAT, x = -6 y = 5 z = 5 
/20220315-MathProblems/STC_0035.smt2, 0.510597, SAT, x = -13 y = -8 z = 14 
/20220315-MathProblems/STC_0036.smt2, 0.147931, SAT, x = -75 y = 40 z = 71 
/20220315-MathProblems/STC_0037.smt2, 0.270041, SAT, x = -56 y = 37 z = 50 
/20220315-MathProblems/STC_0038.smt2, 0.429536, SAT, x = -27 y = 16 z = 25 
/20220315-MathProblems/STC_0039.smt2, 1.232301, Not SAT
/20220315-MathProblems/STC_0040.smt2, 1.196882, Not SAT
/20220315-MathProblems/STC_0041.smt2, 1.157879, Not SAT
